property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,
A016136,BN0016980,000B86816EB0,10.151.172.12,slo-rw171a-a119-sr,2.4,A119,Aliso,Poly Canyon Village,W,
A016137,BN0016971,000B86816E83,10.151.171.15,slo-rw171a-a120-lr,2.4,A120,Aliso,Poly Canyon Village,W,
A016170,BN0016844,000B86816C08,10.151.172.24,slo-rw171a-a219-sr,2.4,A219,Aliso,Poly Canyon Village,W,
A016171,BN0016859,000B86816C53,10.151.171.30,slo-rw171a-a220-sr,2.4,A220,Aliso,Poly Canyon Village,W,
A016204,BN0017018,000B86816F6E,10.151.172.36,slo-rw171a-a319-sr,2.4,A319,Aliso,Poly Canyon Village,W,
A016205,BN0016168,000B86815ED4,10.151.171.45,slo-rw171a-a320-sr,2.4,A320,Aliso,Poly Canyon Village,W,
A016238,BN0012365,000B8681148D,10.151.172.48,slo-rw171a-a419-sr,2.4,A419,Aliso,Poly Canyon Village,W,
A016239,BN0012384,000B868114EC,10.151.171.60,slo-rw171a-a420-sr,2.4,A420,Aliso,Poly Canyon Village,W,
A009960,BN0016688,000B868168FC,10.151.172.49,slo-rw171a-a007-cr,5,A007,Aliso,Poly Canyon Village,W,
A009961,BN0016969,000B86816E79,10.151.172.50,slo-rw171a-a014-cr,2.4,A014,Aliso,Poly Canyon Village,W,
A016016,BN0012255,000B86811267,10.151.183.1,slo-rw171i-i001-lr,2.4,I001,Inyo,Poly Canyon Village,W,
A016059,BN0016470,000B868164BA,10.151.184.66,slo-rw171i-i211-sr,2.4,I211,Inyo,Poly Canyon Village,W,
A016081,BN0016916,000B86816D70,10.151.184.22,slo-rw171i-i311-sr,2.4,I311,Inyo,Poly Canyon Village,W,
A016103,BN0012318,000B868113A2,10.151.184.44,slo-rw171i-i411-sr,2.4,I411,Inyo,Poly Canyon Village,W,
A016267,BN0016706,000B86816956,10.151.179.28,slo-rw171h-h114-b,2.4,H114-B,Huasna,Poly Canyon Village,W,
A016268,BN0016423,000B868163CF,10.151.179.29,slo-rw171h-h114-c,5,H114-C,Huasna,Poly Canyon Village,W,
A016282,BN0016698,000B8681692E,10.151.179.32,slo-rw171h-h126,5,H126,Huasna,Poly Canyon Village,W,
A016283,BN0016379,000B868162F3,10.151.179.33,slo-rw171h-h128,2.4,H128,Huasna,Poly Canyon Village,W,
A016284,BN0016215,000B86815FBF,10.151.179.34,slo-rw171h-h144-lr,2.4,H144,Huasna,Poly Canyon Village,W,
A016331,BN0016852,000B86816C30,10.151.180.36,slo-rw171h-h239-sr,2.4,H239,Huasna,Poly Canyon Village,W,
A016378,BN0016761,000B86816A69,10.151.180.72,slo-rw171h-h339-sr,2.4,H339,Huasna,Poly Canyon Village,W,
A016425,BN0016819,000B86816B8B,10.151.180.108,slo-rw171h-h439-sr,2.4,H439,Huasna,Poly Canyon Village,W,
A016472,BN0012274,000B868112C6,10.151.182.36,slo-rw171h-h539-sr,2.4,H539,Huasna,Poly Canyon Village,W,
A016480,BN0016122,000B86815DEE,10.151.168.1,slo-rw171e-e029-lr,2.4,E029,Estrella,Poly Canyon Village,W,
A016513,BN0016169,000B86815ED9,10.151.169.27,slo-rw171e-e119-sr,2.4,E119,Estrella,Poly Canyon Village,W,
A016549,BN0015503,000B868151D7,10.151.169.47,slo-rw171e-e219-sr,2.4,E219,Estrella,Poly Canyon Village,W,
A016585,BN0016397,000B8681634D,10.151.168.18,slo-rw171e-e319-sr,2.4,E319,Estrella,Poly Canyon Village,W,
A016621,BN0016796,000B86816B18,10.151.168.23,slo-rw171e-e419-sr,2.4,E419,Estrella,Poly Canyon Village,W,
A016657,BN0016694,000B8681691A,10.151.168.30,slo-rw171e-e519-sr,2.4,E519,Estrella,Poly Canyon Village,W,
A016693,BN0016368,000B868162BC,10.151.174.13,slo-rw171f-f010-l,5,F010-L,Foxen,Poly Canyon Village,W,
A016694,BN0016084,000B86815D30,10.151.173.4,slo-rw171f-f010-b,2.4,F010-B,Foxen,Poly Canyon Village,W,
A016695,BN0016032,000B86815C2C,10.151.174.14,slo-rw171f-f010-am,AM,F010-D,Foxen,Poly Canyon Village,W,
